old_tag,new_tag,action,notes,parent_broader_category
Carrington Hotel (building),Carrington Hotel (building),hierarchy,parent=hotels (buildings),
cattle,cattle,hierarchy,parent=domestic animals,
cattle straying,cattle straying,merge,Use-for term for Stock trespass,
cattle trucking yard,cattle trucking yard,hierarchy,parent=cattle trucking yards,
cattle trucking yards,cattle trucking yards,hierarchy,parent=transport infrastructure,
caves & geological features,caves & geological features,hierarchy,parent=natural features,
Centennial Hotel,Centennial Hotel (building),synonym,Unqualified variant from original Zotero tags,
Centennial Hotel (building),Centennial Hotel (building),hierarchy,parent=hotels (buildings),
charitable and welfare activities,charitable and welfare activities,hierarchy,parent=Activities,
charitable and welfare activity,charitable and welfare activity,hierarchy,parent=charitable and welfare activities (singular generic term),
charity,charity,hierarchy,parent=charitable and welfare activities,
charity,charity,hierarchy,parent=Economic hardship - THEMATIC,
Charity,charity,synonym,Capitalized variant from original Zotero tags,
chess and draughts club,chess and draughts club,hierarchy,parent=cultural societies,
Chess and Draughts Club,chess and draughts club,synonym,Capitalized variant from original Zotero tags,
childhood & adolescence,childhood & adolescence,hierarchy,parent=family & domestic life - THEMATIC,
children,children,hierarchy,parent=demographic groups,
children,children,hierarchy,parent=family members by demographic - THEMATIC,
children,children,hierarchy,parent=Vulnerable populations - THEMATIC,
Chinese community,Chinese community,hierarchy,parent=marginalised groups - THEMATIC,
Chinese community,Chinese community,hierarchy,parent=Marginalised groups - THEMATIC,
Chinese people,Chinese people,hierarchy,parent=Chinese community - THEMATIC,
Chinese people,Chinese people,hierarchy,parent=ethnic groups,
choir,choir,hierarchy,parent=choirs,
Choir,choir,synonym,Capitalized variant from original Zotero tags,
choirs,choirs,hierarchy,parent=performance groups,
Church,church (organisation),synonym,Unqualified variant from original Zotero tags,
church (building),church (building),hierarchy,parent=churches (buildings),
church (organisation),church (organisation),hierarchy,parent=churches (organisations),
Church of England church (building),Church of England church (building),hierarchy,parent=Church of England churches (buildings),
Church of England church (organisation),Church of England church (organisation),hierarchy,parent=Church of England churches (organisations) (singular generic term),
Church of England churches (buildings),Church of England churches (buildings),hierarchy,parent=churches (buildings),
Church of England churches (organisations),Church of England churches (organisations),hierarchy,parent=churches (organisations),
Church of England Katoomba (building),Church of England Katoomba (building),hierarchy,parent=Church of England churches (buildings),
Church of England Katoomba (organisation),Church of England Katoomba (organisation),hierarchy,parent=Church of England churches (organisations),
churches (buildings),churches (buildings),hierarchy,parent=religious buildings,
churches (organisations),churches (organisations),hierarchy,parent=religious organisations,
civic buildings,civic buildings,hierarchy,parent=Built Environment,
civic buildings,civic buildings,hierarchy,parent=community institutions - THEMATIC,
civic organisations,civic organisations,hierarchy,parent=community institutions - THEMATIC,
civic organisations,civic organisations,hierarchy,parent=organisations,
Clarence,Clarence,hierarchy,parent=towns,
Clarke's Hall,Clarke's Hall,hierarchy,parent=halls,
clergy,clergy,hierarchy,parent=occupations,
clergy,clergy,hierarchy,parent=Religion - THEMATIC,
coach and buggy business,coach and buggy business,hierarchy,parent=other goods and services,
Coadjutor Archbishop,Coadjutor Archbishop,hierarchy,parent=clergy,
coal,coal,hierarchy,parent=Natural resources - THEMATIC,
coal,coal,hierarchy,parent=Materials,
Coal,coal,synonym,Capitalized variant from original Zotero tags,
Coal mine,coal mine (facility),synonym,Unqualified variant from original Zotero tags,
coal mine (facility),coal mine (facility),hierarchy,parent=coal mines (singular generic term),
coal mines,coal mines,hierarchy,parent=mines,
coal mining,coal mining,hierarchy,parent=mines & mining districts - THEMATIC,
coal mining,coal mining,hierarchy,parent=mining,
Colliery,coal mine (facility),synonym,UK/Australian term for coal mine,
Comet Hotel (building),Comet Hotel (building),hierarchy,parent=hotels (buildings),
commercial activities,commercial activities,hierarchy,parent=Activities,
commercial building,commercial building,hierarchy,parent=commercial buildings (singular generic term),
commercial buildings,commercial buildings,hierarchy,parent=Built Environment,
commercial businesses,commercial businesses,hierarchy,parent=organisations,
commercial businesses,commercial businesses,hierarchy,parent=Businesses - THEMATIC,
commercial businesses,commercial businesses,hierarchy,parent=businesses - THEMATIC,
commercial transport,commercial transport,hierarchy,parent=transport & infrastructure - THEMATIC,
communication activities,communication activities,hierarchy,parent=Activities,
communication activity,communication activity,hierarchy,parent=communication activities (singular generic term),
communications & postal services,communications & postal services,hierarchy,parent=(thematic grouping),
community buildings,community buildings,hierarchy,parent=Built Environment,
community buildings,community buildings,hierarchy,parent=community institutions - THEMATIC,
community institutions,community institutions,hierarchy,parent=(thematic grouping),
concert,concert,hierarchy,parent=cultural events,
concert,concert,hierarchy,parent=social events,
Concerts,concert,merge,Plural form merged into singular (29 items),
Congregational Church,Congregational Church (organisation),synonym,Unqualified variant from original Zotero tags,
Congregational Church (building),Congregational Church (building),hierarchy,parent=Congregational churches (buildings),
Congregational Church (organisation),Congregational Church (organisation),hierarchy,parent=Congregational churches (organisations) (singular generic term),
Congregational Church Choir,Congregational Church Choir,hierarchy,parent=choirs,
Congregational Church Katoomba (building),Congregational Church Katoomba (building),hierarchy,parent=Congregational churches (buildings),
Congregational Church Katoomba South (building),Congregational Church Katoomba South (building),hierarchy,parent=Congregational churches (buildings),
Congregational Church Katoomba South (organisation),Congregational Church Katoomba South (organisation),hierarchy,parent=Congregational churches (organisations),
Congregational churches (buildings),Congregational churches (buildings),hierarchy,parent=churches (buildings),
Congregational churches (organisations),Congregational churches (organisations),hierarchy,parent=churches (organisations),
constable,constable,hierarchy,parent=police officers,
Constable John Hamilton,Constable John Hamilton,hierarchy,parent=constable,
Constable John Hamilton,Constable John Hamilton,hierarchy,parent=people - THEMATIC,
Constable John Illingworth,Senior-Constable John Illingworth,synonym,Incorrect rank - use Senior-Constable,
Constable O'Reilly,Constable O'Reilly,hierarchy,parent=constable,
Constable O'Reilly,Constable O'Reilly,hierarchy,parent=people - THEMATIC,
Constable Orr,Constable Orr,hierarchy,parent=constable,
Constable Orr,Constable Orr,hierarchy,parent=people - THEMATIC,
Constable White,Constable White,hierarchy,parent=constable,
Constable White,Constable White,hierarchy,parent=people - THEMATIC,
consumable materials,consumable materials,hierarchy,parent=Materials,
coroner,coroner,hierarchy,parent=coroners,
Coroner,coroner,synonym,Capitalized variant from original Zotero tags,
Coroner Lethbridge,Coroner Lethbridge,hierarchy,parent=coroners,
coroners,coroners,hierarchy,parent=legal officials,
corroboree,corroboree,hierarchy,parent=cultural events,
corroboree,corroboree,hierarchy,parent=Indigenous peoples - THEMATIC,
Corroboree,corroboree,synonym,Capitalized variant from original Zotero tags,
cottage,cottage,hierarchy,parent=cottages,
cottages,cottages,hierarchy,parent=accommodation buildings,
council,council,hierarchy,parent=councils (singular generic term),
Council Chambers,Katoomba Council Chambers,synonym,Capitalized variant from original Zotero tags,
council chambers,Katoomba Council Chambers,synonym,Lowercase variant to preferred term,
councils,councils,hierarchy,parent=government bodies,
Councils,councils,synonym,Capitalized variant from original Zotero tags,
coursing,coursing,hierarchy,parent=sporting events,
coursing,coursing,hierarchy,parent=sport & recreation - THEMATIC,
coursing club,coursing club,hierarchy,parent=coursing clubs (singular generic term),
coursing clubs,coursing clubs,hierarchy,parent=sports clubs,
court,court,hierarchy,parent=courts (singular generic term),
Court,court,synonym,Capitalized variant from original Zotero tags,
court buildings,court buildings,hierarchy,parent=civic buildings,
court buildings,court buildings,hierarchy,parent=justice & crime - THEMATIC,
court cases,court cases,hierarchy,parent=legal events,
court cases,court cases,hierarchy,parent=legal proceedings,
Court cases,court cases,synonym,Capitalized variant from original Zotero tags,
courthouse,courthouse,hierarchy,parent=court buildings,
Courthouse,courthouse,synonym,Capitalized variant from original Zotero tags,
courts,courts,hierarchy,parent=government bodies,
courts,courts,hierarchy,parent=justice & crime - THEMATIC,
Courts of Petty Sessions,Courts of Petty Sessions,hierarchy,parent=courts,
cricket,cricket,hierarchy,parent=team sports,
cricket,cricket,hierarchy,parent=sport & recreation - THEMATIC,
Cricket,cricket,synonym,Capitalized variant from original Zotero tags,
cricket club,cricket club,hierarchy,parent=cricket clubs (singular generic term),
cricket clubs,cricket clubs,hierarchy,parent=sports clubs,
Cricket clubs,cricket clubs,synonym,Capitalized variant from original Zotero tags,
cricket ground,cricket ground,hierarchy,parent=cricket grounds (singular generic term),
cricket grounds,cricket grounds,hierarchy,parent=sports facilities,
cricket match,cricket match,hierarchy,parent=sporting events (singular generic term),
cricket match,cricket match,hierarchy,parent=sport & recreation - THEMATIC,
crimes,crimes,hierarchy,parent=justice & crime - THEMATIC,
criminal event,criminal event,hierarchy,parent=criminal events (singular generic term),
criminal events,criminal events,hierarchy,parent=Events,
cultural & recreational organisations,cultural & recreational organisations,hierarchy,parent=community institutions - THEMATIC,
cultural & recreational organisations,cultural & recreational organisations,hierarchy,parent=organisations,
cultural activities,cultural activities,hierarchy,parent=Arts & Culture - THEMATIC,
cultural event,cultural event,hierarchy,parent=cultural events (singular generic term),
cultural events,cultural events,hierarchy,parent=Arts & Culture - THEMATIC,
cultural events,cultural events,hierarchy,parent=Events,
Cultural identity & heritage,Cultural identity & heritage,hierarchy,parent=Race & Ethnicity - THEMATIC,
cultural organisations,cultural organisations,hierarchy,parent=Arts & Culture - THEMATIC,
cultural societies,cultural societies,hierarchy,parent=cultural & recreational organisations,
cultural society,cultural society,hierarchy,parent=cultural societies (singular generic term),
Cultural venues,Cultural venues,hierarchy,parent=Arts & Culture - THEMATIC,
cycling,cycling,hierarchy,parent=recreation activities,
cycling,cycling,hierarchy,parent=sport & recreation - THEMATIC,
dance,dance,hierarchy,parent=social events,
Dances,dance,merge,Plural form merged into singular (26 items),
Davey family,Davey family,hierarchy,parent=families,
death,death,hierarchy,parent=health conditions - THEMATIC,
death,death,hierarchy,parent=life events,
death,death,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Death,death,synonym,Capitalized variant from original Zotero tags,
death notice,death notice,hierarchy,parent=death,
Death notice,death notice,synonym,Capitalized variant from original Zotero tags,
debate,debate,hierarchy,parent=cultural events,
debating,debating,hierarchy,parent=cultural events,
debating,debating,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Debating,debating,synonym,Capitalized variant from original Zotero tags,
Delaney family,Delaney family,hierarchy,parent=families,
Delaney's Family Hotel (building),Delaney's Family Hotel (building),hierarchy,parent=family hotels,
Delaney's Hotel,Delaney's Family Hotel,synonym,Abbreviated name - use full 'Delaney's Family Hotel',
Delaney's Hotel,Delaney's Hotel,merge,"Variant name - use Delaney's family hotel (official name includes ""family hotel"" designation per 1896 license application)",
demographic group,demographic group,hierarchy,parent=demographic groups (singular generic term),
demographic groups,demographic groups,hierarchy,parent=people,
desertion,desertion,hierarchy,parent=criminal events,
desertion,desertion,hierarchy,parent=Social order offences - THEMATIC,
Desertion,desertion,synonym,Capitalized variant from original Zotero tags,
disaster,disaster,hierarchy,parent=disasters,Singular generic term
disasters,disasters,hierarchy,parent=accidents,
disease,disease,hierarchy,parent=health conditions - THEMATIC,
disease,disease,hierarchy,parent=physical and health conditions,
Disease,disease,synonym,Capitalized variant from original Zotero tags,
divorce,divorce,hierarchy,parent=legal events,
divorce,divorce,hierarchy,parent=Legal outcomes - THEMATIC,
Divorce,divorce,synonym,Capitalized variant from original Zotero tags,
document types,document types,hierarchy,parent=Associated Concepts,
dogs,dogs,hierarchy,parent=domestic animals,
dogs,dogs,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Dogs,dogs,synonym,Capitalized variant from original Zotero tags,
Domestic accommodation,Domestic accommodation,hierarchy,parent=family & domestic life - THEMATIC,
Domestic accommodation,Domestic accommodation,hierarchy,parent=Family & Domestic Life - THEMATIC,
domestic animals,domestic animals,hierarchy,parent=animals,
Douglas & Co.,Douglas and Company,synonym,Abbreviated form of Douglas and Company,
Douglas and Company,Douglas and Company,hierarchy,parent=retailers and stores,
Dr Morgan,Dr Morgan,hierarchy,parent=medical professionals,
Dr Morgan,Dr Morgan,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Dr Prangley,Dr Prangley,hierarchy,parent=medical professionals,
Dr Spark,Dr Spark,hierarchy,parent=medical professionals,
Dr Watkins,Dr Watkins,hierarchy,parent=medical professionals,
Dr Watkins,Dr Watkins,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
drinking,drinking,merge,Consolidate to drinking (alcohol) - all instances in collection refer to alcohol consumption (Blue Mountains temperance-era newspapers),
Drinking,drinking (alcohol),synonym,Renamed for clarity - refers specifically to alcohol consumption,
drinking (alcohol),drinking (alcohol),hierarchy,parent=alcohol consumption & behaviour - THEMATIC,
drinking (alcohol),drinking (alcohol),hierarchy,parent=social behaviours,
Druid's Lodge,Druid's Lodge (local lodge),synonym,Short form without qualifier,
Druid's Lodge (local lodge),Druid's Lodge (local lodge),hierarchy,parent=United Ancient Order of Druids,
Druids,United Ancient Order of Druids,synonym,Informal name for United Ancient Order of Druids,
Drunkeness,Drunkeness,hierarchy,parent=alcohol consumption & behaviour - THEMATIC,
drunkenness (crime),drunkenness (crime),hierarchy,parent=alcohol consumption & behaviour - THEMATIC,
drunkenness (crime),drunkenness (crime),hierarchy,parent=alcohol-related,
drunkenness (crime),drunkenness (crime),hierarchy,parent=Social order offences - THEMATIC,
drunkenness (intoxication),drunkenness (intoxication),hierarchy,parent=alcohol consumption & behaviour - THEMATIC,
drunkenness (intoxication),drunkenness (intoxication),hierarchy,parent=physical and health conditions,
dwelling,dwelling,hierarchy,parent=dwellings (singular generic term),
dwellings,dwellings,hierarchy,parent=accommodation buildings,
Eaton family,Eaton family,hierarchy,parent=families,
economic activities,economic activities,hierarchy,parent=Activities,
economic activity,economic activity,hierarchy,parent=economic activities (singular generic term),
Economic distress,Economic distress,hierarchy,parent=Economy & Labour - THEMATIC,
economic event,economic event,hierarchy,parent=economic events (singular generic term),
economic events,economic events,hierarchy,parent=Events,
Economic hardship,Economic hardship,hierarchy,parent=Social issues - THEMATIC,
Economy & Labour,Economy & Labour,hierarchy,parent=(thematic grouping),
education,education,hierarchy,parent=(thematic grouping),
educational buildings,educational buildings,hierarchy,parent=Built Environment,
educational buildings,educational buildings,hierarchy,parent=education - THEMATIC,
educational institutions,educational institutions,hierarchy,parent=organisations,
election,election,hierarchy,parent=political events,
Election,election,synonym,Capitalized variant from original Zotero tags,
environment & weather,environment & weather,hierarchy,parent=(thematic grouping),
equestrian sports,equestrian sports,merge,Remove from Recreation activities hierarchy - use Spectator sports for watching horse racing; use Horse races (Events facet) for the sporting event itself,
Eskbank Oval,Eskbank Oval,hierarchy,parent=ovals,
ethnic group,ethnic group,hierarchy,parent=ethnic groups (singular generic term),
ethnic groups,ethnic groups,hierarchy,parent=people,
Evans family,Evans family,hierarchy,parent=families,
Events,Events,hierarchy,parent=(Getty AAT primary facet),
Events,Events,hierarchy,parent=(new top-level facet),
F C Goyder,F C Goyder,hierarchy,parent=hotelliers,
F. C. Goyder,F. C. Goyder,hierarchy,parent=hotelliers,
Falls Hotel (building),Falls Hotel (building),hierarchy,parent=hotels (buildings),
families,families,hierarchy,parent=family & domestic life - THEMATIC (all family tags),
families,families,hierarchy,parent=people,
family,family,hierarchy,parent=families (singular generic term),
family & domestic life,family & domestic life,hierarchy,parent=(thematic grouping),
family hotel,family hotel,merge,Colloquial/generic reference to Katoomba family hotel - all instances in collection refer to this specific establishment in Katoomba,
Family Hotel,Katoomba Family Hotel,synonym,"Case variant - standardise to lowercase ""family hotel"" or use specific ""Katoomba Family Hotel""",
family hotel (building),family hotel (building),hierarchy,parent=family hotels,Singular generic term
family hotels,family hotels,hierarchy,parent=hotels (buildings),
family members by demographic,family members by demographic,hierarchy,parent=family & domestic life - THEMATIC,
feral dog control,feral dog control,hierarchy,parent=animal control,
fighting,fighting,hierarchy,parent=criminal events,
fighting,fighting,hierarchy,parent=violent crimes - THEMATIC,
Fighting,fighting,synonym,Capitalized variant from original Zotero tags,
financial institution,financial institution,hierarchy,parent=financial institutions (singular generic term),
financial institutions,financial institutions,hierarchy,parent=commercial businesses,
financial services,financial services,hierarchy,parent=economic activities,
fire,fire,hierarchy,parent=accidents,
Fire,fire,synonym,Capitalized variant from original Zotero tags,
flower show,flower show,hierarchy,parent=social events,
Flower show,flower show,synonym,Capitalized variant from original Zotero tags,
Flynn family,Flynn family,hierarchy,parent=families,
football,football,hierarchy,parent=team sports,
football,football,hierarchy,parent=sport & recreation - THEMATIC,
football,football,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Football,football,synonym,Capitalized variant from original Zotero tags,
football club,football club,hierarchy,parent=football clubs (singular generic term),
football clubs,football clubs,hierarchy,parent=sports clubs,
Football clubs,football clubs,synonym,Capitalized variant from original Zotero tags,
football match,football match,hierarchy,parent=sporting events (singular generic term),
football match,football match,hierarchy,parent=sport & recreation - THEMATIC,
fraternal orders & lodges,fraternal orders & lodges,hierarchy,parent=organisations,
fraternal orders & lodges,fraternal orders & lodges,hierarchy,parent=Community institutions - THEMATIC,
fraternal orders & lodges,fraternal orders & lodges,hierarchy,parent=community institutions - THEMATIC,
Freemasons,Freemasons,hierarchy,parent=lodges,
Fryer's Family Hotel,Fryer's Family Hotel,merge,Owner-specific name for Katoomba family hotel during Fryer family ownership (1892) - use Katoomba family hotel as preferred term,
Fryer's Family Hotel,Katoomba Family Hotel,synonym,Historical name used during Fryer family ownership period (pre-March 1892),
Fryer's Family Hotel (building),Fryer's Family Hotel (building),hierarchy,parent=family hotels,
fundraising,fundraising,hierarchy,parent=communication activities,
Fundraising,fundraising,synonym,Capitalized variant from original Zotero tags,
funeral,funeral,hierarchy,parent=life events,
Funeral,funeral,synonym,Capitalized variant from original Zotero tags,
gambling,gambling,hierarchy,parent=social behaviours,
gambling,gambling,hierarchy,parent=Social order offences - THEMATIC,
Gambling,gambling,synonym,Capitalized variant from original Zotero tags,
gas,gas,hierarchy,parent=utilities,
gas,gas,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Gas,gas,synonym,Capitalized variant from original Zotero tags,
Gender-related vulnerabilities,Gender-related vulnerabilities,hierarchy,parent=women & gender - THEMATIC,
Gender-related vulnerabilities,Gender-related vulnerabilities,hierarchy,parent=Women & Gender - THEMATIC,
gin,gin,hierarchy,parent=spirits,
Girls' cricket,cricket,merge,Tag with cricket + women (demographic group) + adolescents (if applicable) instead of gender-specific sport term per consolidation decision,
Gladstone Coal Company,Gladstone Coal Company,hierarchy,parent=mining companies,
Glen Shale Mine,Nellie's Glen Shale Mine (facility),synonym,Short form of Nellie's Glen Shale Mine - use full name for clarity,
gold mining,gold mining,hierarchy,parent=mining,
Gold mining,gold mining,synonym,Capitalized variant from original Zotero tags,
Good Templars,Good Templars,hierarchy,parent=religious social movements,
Good Templars,Good Templars,hierarchy,parent=temperance organisations & movements - THEMATIC,
Good Templars,Good Templars,hierarchy,parent=Temperance organizations & movements - THEMATIC,
Gordon family,Gordon family,hierarchy,parent=families,
goring,goring,hierarchy,parent=animal attacks,
government bodies,government bodies,hierarchy,parent=organisations,
government bodies,government bodies,hierarchy,parent=Politics & Governance - THEMATIC,
Goyder brothers,Goyder brothers,hierarchy,parent=Goyder family,
Goyder family,Goyder family,hierarchy,parent=families,
