uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,FeatureID,FeatureType,FeatureAuthor,FeatureTimestamp,OverviewPhotos,Latitude,Longitude,Northing,Easting,Accuracy,Description,PhotoOfSketch,Comments,Interpretation,Material,AsociatedMaterialNotes,DetailPhotos,IDsOfPicturesFromExternalCamera,ExternalPhotoNotes,geospatialcolumn,Artefact Functional type,Tags,RevisedFeatureType,Xref,Notes
1000021586569002221,2002 {Other},Shawn Ross,2020-04-11 01:36:46.996 GMT,Shawn Ross,2020-04-11 01:45:28 GMT,2002,Other,Shawn Ross,2020-04-11 11:36:41+10:00,Feature/OverviewPhotos/2002_Other__2.jpg,-33.754045,150.289086,248897.6262,6261812.353,3.3,Pit,,much like typical rectangular pits from 2018,,,,,4240-4241,lumix g9,POINT(248897.626198 6261812.353244),,Pit,Depression,,
1000061586569105776,1008 {Platform},Cass Venn,2020-04-11 01:38:26.702 GMT,Cass Venn,2020-04-11 02:01:05 GMT,1008,Platform,Cass Venn,2020-04-11 11:38:25+10:00,Feature/OverviewPhotos/1008_Platform__2.jpg,-33.754359,150.288926,248883.7181,6261777.134,2.75,platform aligned north-south. mound of dirt to South. unclear if mound is related to feature. metal artefact in nw,,,,Metal,maybe repurposed for hearth. .86 X .17 X depth .07,,1111-1113; 4254-4256,bec; Shawn,POINT(248883.718086 6261777.133883),Building material,Hut | Artefact | Building-material,Platform | Artefact,,
1000061586570560495,1009 {Isolated_find},Cass Venn,2020-04-11 02:02:46.897 GMT,Cass Venn,2020-04-11 02:05:15 GMT,1009,Isolated find,Cass Venn,2020-04-11 12:02:40+10:00,Feature/OverviewPhotos/1009_Isolated_find__1.jpg,-33.754292,150.289047,248894.7335,6261784.861,3,gin case bottle fragments hand finished,,,mid to late 19th century,Glass,,,4257-4263,Shawn,POINT(248894.733544 6261784.860583),Bottle,Artefact | Alcohol,Artefact,,
1000061586571168135,1010 {Isolated_find},Cass Venn,2020-04-11 02:12:54.357 GMT,Cass Venn,2020-04-11 02:12:54 GMT,1010,Isolated find,Cass Venn,2020-04-11 12:12:48+10:00,Feature/OverviewPhotos/1010_Isolated_find__1.jpg,-33.75502,150.28963,248950.8742,6261705.531,3,metal bucket. partially buried,,,,,,,,,POINT(248950.874227 6261705.530793),Tool,,,1010 | 1011,"Within 3m, associate"
1000061586571426871,1011 {Isolated_find},Cass Venn,2020-04-11 02:17:20.987 GMT,Cass Venn,2020-04-11 02:17:20 GMT,1011,Isolated find,Cass Venn,2020-04-11 12:17:06+10:00,Feature/OverviewPhotos/1011_Isolated_find__2.jpg,-33.755041,150.289651,248952.8812,6261703.253,3,2 pieces white porcelain tableware,,,,Ceramic,,,,,POINT(248952.881192 6261703.252624),Food service,Artefact | Food,Artefact,1010 | 1011,"Within 3m, associate"
1000061586571560842,1012 {Isolated_find},Cass Venn,2020-04-11 02:19:23.349 GMT,Cass Venn,2020-04-11 02:19:23 GMT,1012,Isolated find,Cass Venn,2020-04-11 12:19:20+10:00,Feature/OverviewPhotos/1012_Isolated_find__2.jpg,-33.755115,150.289707,248958.2856,6261695.181,3,rectangular bottle base machine made clear,,,,Glass,,,,,POINT(248958.28561 6261695.180917),Bottle,Artefact | Alcohol,Artefact,,
1000061586571924483,1013 {Hole_drilled_in_the_rock},Cass Venn,2020-04-11 02:25:56.460 GMT,Cass Venn,2020-04-11 02:55:57 GMT,1013,Hole drilled in the rock,Cass Venn,2020-04-11 12:25:24+10:00,Feature/OverviewPhotos/1013_Hole_drilled_in_the_rock__2.jpg,-33.755196,150.289659,248954.0747,6261686.079,3,hole drilled into large boulder. at the base is a large rectangular metal piece. also metal embedded in ground to north and slag heap to nw. ,,,,Metal - Stone,,,4271-4278,Shawn,POINT(248954.074652 6261686.0793),Building material,Structure | Artefact | Building-material,Prop hole | Artefact,,
1000021586572608775,3000 {Isolated_find},Shawn Ross,2020-04-11 02:36:52.147 GMT,Shawn Ross,2020-04-11 02:36:52 GMT,3000,Isolated find,Shawn Ross,2020-04-11 12:36:48+10:00,Feature/OverviewPhotos/3000_Isolated_find__3.jpg,-33.75544505,150.2899789,248984.4387,6261659.234,3.216,bleichert ropeway metal rope,,,,Metal,,,,,POINT(248984.438694 6261659.233868),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,,
1000061586572976041,1014 {Isolated_find},Cass Venn,2020-04-11 02:42:59.484 GMT,Cass Venn,2020-04-11 02:59:44 GMT,1014,Isolated find,Cass Venn,2020-04-11 12:42:55+10:00,Feature/OverviewPhotos/1014_Isolated_find__2.jpg,-33.755456,150.290046,248990.6894,6261658.183,2.75,remnants of frames possibly for hauling ore.,,,,Metal,,,4280-4287,Shawn,POINT(248990.689411 6261658.182839),Mechanical,Artefact | Work | Industrial,Artefact | Mining element,,
1000021586573025091,3001 {Isolated_find},Shawn Ross,2020-04-11 02:43:55.527 GMT,Shawn Ross,2020-04-11 02:52:26 GMT,3001,Isolated find,Shawn Ross,2020-04-11 12:43:45+10:00,Feature/OverviewPhotos/3001_Isolated_find__1.jpg,-33.755697,150.289841,248972.399,6261630.951,2.25,bracket,,,,Metal,,,4279,,POINT(248972.39897 6261630.951213),Mechanical,Work | Industrial,Artefact | Mining element,,
1000061586574150676,1015 {Artefact_scatter},Cass Venn,2020-04-11 03:02:32.554 GMT,Cass Venn,2020-04-11 03:14:06 GMT,1015,Artefact scatter,Cass Venn,2020-04-11 13:02:30+10:00,Feature/OverviewPhotos/1015_Artefact_scatter__3.jpg,-33.755545,150.290071,248993.2653,6261648.372,2,"glass-machine made, clear, seams obvious, 2 piece with base, no. 26 on base, raised numbering. metal C. 0.6 diameter. metal ring at either end with a series of metal straps diverted, .1 spacing and .5 in length.",,,,Glass - Metal,1114-16 glass jar bottom Bec''s camera,,Metal: 1117; 4294-4300,bec; Shawn,POINT(248993.265338 6261648.371753),Food storage,Artefact | Food,Artefact,,
1000021586574160336,3002 {Isolated_find},Shawn Ross,2020-04-11 03:02:57.417 GMT,Shawn Ross,2020-04-11 03:10:32 GMT,3002,Isolated find,Shawn Ross,2020-04-11 13:02:40+10:00,Feature/OverviewPhotos/3002_Isolated_find__3.jpg,-33.755512,150.290087,248994.6515,6261652.071,2,ropeway bucket and slag,,,,Metal,slag,Feature/DetailPhotos/3002_Isolated_find__4.jpg,4288-4293,,POINT(248994.651492 6261652.071148),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,,
1000061586574932701,1016 {Isolated_find},Cass Venn,2020-04-11 03:15:46.726 GMT,Cass Venn,2020-04-11 03:20:45 GMT,1016,Isolated find,Cass Venn,2020-04-11 13:15:32+10:00,Feature/OverviewPhotos/1016_Isolated_find__2.jpg,-33.755586,150.290076,248993.8482,6261643.836,2.25,ropeway bucket,,,,Metal,,,4301-4303,Shawn,POINT(248993.848204 6261643.836159),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,,
1000061586576384885,1017 {Artefact_scatter},Cass Venn,2020-04-11 03:39:47.785 GMT,Cass Venn,2020-04-11 04:04:43 GMT,1017,Artefact scatter,Cass Venn,2020-04-11 13:39:44+10:00,Feature/OverviewPhotos/1017_Artefact_scatter__1.jpg,-33.756508,150.290484,249034.3393,6261542.561,2,in association with previously recorded feature.,,both window and bottle glass. wooden plank with nails. machine made bottle. window glass and hinge. wooden plank.,,Ceramic - Glass - Metal - Stone,,,"Shawn: 4304
Bec: 1118 & 1119 machine made bottle. 1120 & 1121 window glass and hinge. 1122-1124 wooden plank.",Shawn | Bec,POINT(249034.339344 6261542.560752),Building material | Bottle,Artefact | Building-material,Artefact,,"Not clear what 'previously recorded feature' is intended, no features within 20m."
1000061586576859076,1018 {Artefact_scatter},Cass Venn,2020-04-11 03:47:47.317 GMT,Cass Venn,2020-04-11 03:54:09 GMT,1018,Artefact scatter,Cass Venn,2020-04-11 13:47:38+10:00,Feature/OverviewPhotos/1018_Artefact_scatter__3.jpg,-33.756515,150.29075,249059.0048,6261542.432,2,metal frame with hinge and bottle. six sided bottle ,,,,Glass - Metal,,,1125-1127 metal; 1130-1131 green bottle; 1128-1129 six sided bottle,Bec,POINT(249059.004766 6261542.432364),Mechanical | Bottle,Artefact | Industry | Alcohol,Artefact,,
1000061586577394618,1019 {Artefact_scatter},Cass Venn,2020-04-11 03:56:41.320 GMT,Cass Venn,2020-04-11 04:26:36 GMT,1019,Artefact scatter,Cass Venn,2020-04-11 13:56:34+10:00,Feature/OverviewPhotos/1019_Artefact_scatter__1.jpg,-33.75658,150.290807,249064.4754,6261535.361,2,metal straps .035 wide square holes at .1 intervals C. .015 square. metal pot handle. various stoneware tableware with transfer prints inc. brown floral pink floral and blue geo/floral. one plain white glaze probable saucer from children''s tea set. clear bottle glass six sided. metal four hole button. metal cog from clock.,,,,Ceramic - Metal - Stone,,,4326-4340,Shawn,POINT(249064.475415 6261535.361335),Cooking | Food service | Mechanical | Apparel,Artefact | Food | Clothing | Industry,Artefact,,
1000061586577794466,1020 {Platform},Cass Venn,2020-04-11 04:03:16.949 GMT,Cass Venn,2020-04-11 04:24:39 GMT,1020,Platform,Cass Venn,2020-04-11 14:03:14+10:00,Feature/OverviewPhotos/1020_Platform__2.jpg,-33.756594,150.290756,249059.7911,6261533.684,2.25,"crushed sandstone platform with hearth at Southern extent. 2 postholes ,0.3 deep 0.2 X 0.2 both on sw corner. one next to hearth one on edge of platform.",,,,Stone - Other (brick),brick: .23 X .11 x.075 rectangular inverted hip frog.,,4305-4325,Shawn,POINT(249059.791082 6261533.684191),Building material,Hut | Artefact | Building-material,Hearth | Platform | Artefact,,
1000021586579991253,3003 {Artefact_scatter},Shawn Ross,2020-04-11 04:40:07.930 GMT,Shawn Ross,2020-04-11 04:44:27 GMT,3003,Artefact scatter,Shawn Ross,2020-04-11 14:39:51+10:00,Feature/OverviewPhotos/3003_Artefact_scatter__1.jpg,-33.756042,150.290466,249031.3124,6261594.206,2.1,blue on white ceramic; bedpost,,,,Ceramic - Metal,metal bedpost found about 5m away,Feature/DetailPhotos/3003_Artefact_scatter__1.jpg,4349-4356,ceramics and bedpost,POINT(249031.312351 6261594.206273),Food service,Artefact | Food,Artefact,,
1000021586582828376,3004 {Isolated_find},Shawn Ross,2020-04-11 05:27:16.850 GMT,Shawn Ross,2020-04-11 05:27:16 GMT,3004,Isolated find,Shawn Ross,2020-04-11 15:27:08+10:00,Feature/OverviewPhotos/3004_Isolated_find__2.jpg,-33.738387,150.284508,248427.6983,6263537.993,2.25,Cart wheels / undercarriage,,,,Metal,,,,,POINT(248427.698266 6263537.992931),Mechanical,Artefact | Industry,Artefact | Mining element,,
1000061586650176366,1021 {Platform},Cass Venn,2020-04-12 00:09:38.454 GMT,Cass Venn,2020-04-12 00:14:17 GMT,1021,Platform,Cass Venn,2020-04-12 10:09:36+10:00,Feature/OverviewPhotos/1021_Platform__1.jpg,-33.758796,150.292123,249192.8634,6261292.765,2.4,stone platform long axis going north south. ,,,,Ceramic - Glass - Metal - Stone - Other,"Some bricks machine made with rectangular frog very heavy probably iron rich, window glass at northern end. 1134-1136 hearth feature off nw corner. not clearly defined hearth possibly disturbed.",Feature/DetailPhotos/1021_Platform__1a.jpg,1132-1233,Bec,POINT(249192.863378 6261292.764774),Building material,Dwelling | Artefact | Building-material,Hearth | Platform | Artefact,1021 | 3006,"Within 3m, assoicate"
1000021586650298016,3005 {Artefact_scatter},Shawn Ross,2020-04-12 00:12:06.422 GMT,Shawn Ross,2020-04-12 00:30:33 GMT,3005,Artefact scatter,Shawn Ross,2020-04-12 10:11:37+10:00,Feature/OverviewPhotos/3005_Artefact_scatter__1.jpg,-33.758832,150.292026,249183.9815,6261288.535,2.1,"metal rail in ground, various materials, glass jar top, metal ring, metal parts",,,,Ceramic - Glass - Metal - Other,brick,Feature/DetailPhotos/3005_Artefact_scatter__8.jpg,4368-4372,,POINT(249183.981488 6261288.5354),Mechanical | Building material,Artefact | Structure | Industry | Food | Building-material,Artefact | Mining element,,
1000061586651144143,1022 {Other},Cass Venn,2020-04-12 00:25:46.069 GMT,Cass Venn,2020-04-12 00:37:16 GMT,1022,"Other,engraving",Cass Venn,2020-04-12 10:25:44+10:00,Feature/OverviewPhotos/1022_Other__2.jpg,-33.758891,150.292064,249187.6741,6261282.084,1.75,indistinct rock engraving,,,,,,,1137-1142; 4373-4446,Bec; Shawn,POINT(249187.674114 6261282.083573),,Graffiti,Graffiti,,
1000021586651987564,3006 {Hole_drilled_in_the_rock},Shawn Ross,2020-04-12 00:39:53.599 GMT,Shawn Ross,2020-04-12 00:39:53 GMT,3006,Hole drilled in the rock,Shawn Ross,2020-04-12 10:39:47+10:00,Feature/OverviewPhotos/3006_Hole_drilled_in_the_rock__2.jpg,-33.75883,150.292131,249193.7037,6261289.013,2,in top of rock,,,,Stone,,,,,POINT(249193.703681 6261289.012927),,Structure,Prop hole,1021 | 3006,"Within 3m, assoicate"
1000061586652588043,1023 {Platform},Cass Venn,2020-04-12 00:49:49.722 GMT,Cass Venn,2020-04-12 01:04:51 GMT,1023,Platform,Cass Venn,2020-04-12 10:49:47+10:00,Feature/OverviewPhotos/1023_Platform__1.jpg,-33.758359,150.291669,249149.527,6261340.132,2.4,platform on a north to south axis. A linear stone alignment on eastern side with a hearth feature at the southern end. tree fallen through the nw corner.,,,,Ceramic - Glass - Metal - Stone,semi circular (on exterior) hearth. circular metal object (maybe part of axle) next to West wall.,Feature/DetailPhotos/1023_Platform__2a.jpg,1143-1147; 1148-1156 hearth; 4447-4451,Bec; Shawn,POINT(249149.527031 6261340.131822),Mechanical,Hut | Artefact,Hearth | Platform | Artefact | Mining element,,
1000021586652797808,3007 {Artefact_scatter},Shawn Ross,2020-04-12 00:53:42.367 GMT,Shawn Ross,2020-04-12 00:53:42 GMT,3007,Artefact scatter,Shawn Ross,2020-04-12 10:53:17+10:00,Feature/OverviewPhotos/3007_Artefact_scatter__1.jpg,-33.758413,150.291584,249141.8094,6261333.935,2,"two different types of brick, green bottle glass",,,,Glass - Other,"brick scatter, green bottle glass",Feature/DetailPhotos/3007_Artefact_scatter__2.jpg,,,POINT(249141.809376 6261333.935051),Bottle | Building material,Artefact | Building-material,Artefact,,
1000061586653784720,1024 {Hearth},Cass Venn,2020-04-12 01:09:54.165 GMT,Cass Venn,2020-04-12 01:14:33 GMT,1024,Hearth,Cass Venn,2020-04-12 11:09:44+10:00,Feature/OverviewPhotos/1024_Hearth__1.jpg,-33.758211,150.291894,249169.9414,6261357.096,1.75,on a natural platform no evidence of artificial platform. probably disturbed by campers. rectilinear stone feature. at Southern end of platform. ,,,,,,,1157-1159,Bec,POINT(249169.941414 6261357.096139),,Dwelling | Artefact,Double Hearth | Platform | Artefact,1024 | 1025,
1000061586654157936,1025 {Hearth},Cass Venn,2020-04-12 01:16:03.086 GMT,Cass Venn,2020-04-12 01:17:40 GMT,1025,Hearth,Cass Venn,2020-04-12 11:15:57+10:00,Feature/OverviewPhotos/1025_Hearth__1.jpg,-33.758217,150.291911,249171.5339,6261356.472,2,modern campfire probably overlying and reusing historical hearth. basal stone may be in situ but stones on top are not.,,,,Glass,glass likely modern -melted,,1160-61,Bec,POINT(249171.533932 6261356.472009),,Dwelling | Artefact,Double Hearth | Platform | Artefact,1024 | 1025,
1000021586654225479,3008 {Rectangular},Shawn Ross,2020-04-12 01:17:14.934 GMT,Shawn Ross,2020-04-12 01:22:23 GMT,3008,Rectangular,Shawn Ross,2020-04-12 11:17:05+10:00,Feature/OverviewPhotos/3008_Rectangular__3.jpg,-33.75822,150.291799,6261355.866,249161.166,2.4,Green bottle glass,,,,Glass,green bottle glass,,4452-4465,,POINT(249161.166045 6261355.866495),Bottle,Arefact,Artefact,,
1000061586655149899,1026 {Hearth},Cass Venn,2020-04-12 01:32:41.208 GMT,Cass Venn,2020-04-12 01:37:06 GMT,1026,Hearth,Cass Venn,2020-04-12 11:32:29+10:00,Feature/OverviewPhotos/1026_Hearth__1.jpg,-33.757682,150.292029,249180.9067,6261416.102,2,mound with stone and torbenite. evidence of stone structure underneath mound. rectilinear mound at Southern end of platform likely hearth probable in situ stonework better exposed on western side.,,,,Metal - Stone,metal bolts to north of platform 18.5 cm thread extends at least 5cm. is square shaft with circular head. diameter 12mm.,,4466-4467; 1162-1166,Shawn; Bec,POINT(249180.906738 6261416.102296),Mechanical,Hut | Artefact | Industry,Hearth | Platform | Artefact | Mining element,,
1000021586655832969,3009 {Isolated_find},Shawn Ross,2020-04-12 01:43:59.226 GMT,Shawn Ross,2020-04-12 01:47:19 GMT,3009,Isolated find,Shawn Ross,2020-04-12 11:43:52+10:00,Feature/OverviewPhotos/3009_Isolated_find__2.jpg,-33.757436,150.292252,249200.8504,6261443.932,2.7,metal carriage wheel and clear bottle glass,,,,Glass - Metal,clear bottle glass about 5m away,,4468-4472,,POINT(249200.850372 6261443.931955),Mechanical | Bottle,Artefact | Work | Industrial,Artefact | Ropeway element,,
1000061586656219894,1027 {Hearth},Cass Venn,2020-04-12 01:50:25.250 GMT,Cass Venn,2020-04-12 02:03:35 GMT,1027,Hearth,Cass Venn,2020-04-12 11:50:19+10:00,Feature/OverviewPhotos/1027_Hearth__1.jpg,-33.757153,150.292164,249191.8722,6261475.108,2.25,stone hearth with multiple metal fragment including corrugated iron and rails. cut earth platform on sw side. ne to sw hearth at me end. downslope parallel to and possibly abutting another platform.,,,,Glass - Metal - Stone,decorative clear glass 4476-4481; 1175. four holes button on platform and brick in hearth. ,Feature/DetailPhotos/1027_Hearth__4.jpg,4482-4489; 1167-1174,Shawn; Bec,POINT(249191.872238 6261475.108428),Mechanical | Apparel | Building material  | Food service,Dwelling | Artefact | Clothing | Industry | Food | Building-material,Hearth | Platform | Artefact | Mining element,1027 | 1028 | 3011,"1027 and 1028 are part of the same structure, and associated with Artefact Scatter 3011"
1000021586656307148,3010 {Artefact_scatter},Shawn Ross,2020-04-12 01:51:55.949 GMT,Shawn Ross,2020-04-12 01:57:35 GMT,3010,Artefact scatter,Shawn Ross,2020-04-12 11:51:47+10:00,Feature/OverviewPhotos/3010_Artefact_scatter__1.jpg,-33.757221,150.292201,249195.4985,6261467.656,2.4,,,,,Ceramic - Glass - Metal,metal grate,Feature/DetailPhotos/3010_Artefact_scatter__2.jpg,4473-4475,,POINT(249195.498503 6261467.655868),Food service | Mechanical,Food | Industry,Artefact | Mining element,,
1000021586657186924,3011 {Artefact_scatter},Shawn Ross,2020-04-12 02:06:29.718 GMT,Shawn Ross,2020-04-12 02:13:23 GMT,3011,Artefact scatter,Shawn Ross,2020-04-12 12:06:26+10:00,Feature/OverviewPhotos/3011_Artefact_scatter__2.jpg,-33.757176,150.292162,249191.754,6261472.552,2.1,slope wash below huts,,,,Ceramic - Glass - Metal,harmonica part,Feature/DetailPhotos/3011_Artefact_scatter__1.jpg,4490-4493,,POINT(249191.753987 6261472.552367),Musical instrument,Artefact | Music,Artefact,1027 | 1028 | 3011,"1027 and 1028 are part of the same structure, and associated with Artefact Scatter 3011"
1000061586657354361,1028 {Platform},Cass Venn,2020-04-12 02:09:24.613 GMT,Cass Venn,2020-04-12 02:16:27 GMT,1028,Platform,Cass Venn,2020-04-12 12:09:14+10:00,Feature/OverviewPhotos/1028_Platform__1.jpg,-33.757145,150.292168,249192.2195,6261476.006,2.1,platform and stone hearth abutting previous. dislodged stone continues for at least .5 around insitu hearth. platform extending se not very distinct but at least 3m in length. 2-3 stone courses in situ on sw corner of the hearth.,,,,,in situ hearth courses: ,,4495-4500,Shawn,POINT(249192.219515 6261476.005539),,Dwelling,Hearth | Platform,1027 | 1028 | 3011,"1027 and 1028 are part of the same structure, and associated with Artefact Scatter 3011"
1000061586659823962,1029 {Isolated_find},Cass Venn,2020-04-12 02:50:25.688 GMT,Cass Venn,2020-04-12 02:50:25 GMT,1029,Isolated find,Cass Venn,2020-04-12 12:50:23+10:00,Feature/OverviewPhotos/1029_Isolated_find__1.jpg,-33.757058,150.292386,249212.1635,6261486.186,2.1,"base of pot. fragmented, two legs remaining.",,,,,,,,,POINT(249212.163544 6261486.186494),Cooking,Artefact | Food,Artefact,,
1000061586660733185,1030 {Hearth},Cass Venn,2020-04-12 03:05:34.700 GMT,Cass Venn,2020-04-12 03:15:57 GMT,1030,Hearth,Cass Venn,2020-04-12 13:05:33+10:00,Feature/OverviewPhotos/1030_Hearth__1.jpg,-33.756785,150.293249,249291.3248,6261518.569,2.4,hearth and platform. north south along the north axis. in situ stones forming a rectilinear ushapeopen on s side. broader spread is semicircular mostly collapsed.,,,,,drainage channel to be of hearth.,,4521-4527,Shawn,POINT(249291.324757 6261518.568866),,Hut | Drain,Hearth | Platform | Depression,,
1000021586660809261,3012 {Isolated_find},Shawn Ross,2020-04-12 03:07:06.033 GMT,Shawn Ross,2020-04-12 03:13:38 GMT,3012,Isolated find,Shawn Ross,2020-04-12 13:06:49+10:00,Feature/OverviewPhotos/3012_Isolated_find__3.jpg,-33.756658,150.293268,249292.715,6261532.702,1.75,Bleichert ropeway bucket,,,,Metal,,,4516-4520,,POINT(249292.715039 6261532.702119),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,,
1000021586661478042,3013 {Isolated_find},Shawn Ross,2020-04-12 03:18:19.799 GMT,Shawn Ross,2020-04-12 03:22:00 GMT,3013,Isolated find,Shawn Ross,2020-04-12 13:17:57+10:00,Feature/OverviewPhotos/3013_Isolated_find__3.jpg,-33.756602,150.293001,249267.8143,6261538.264,1.75,bleichert ropeway bucket,,,,Metal,,,4528-4530,,POINT(249267.814249 6261538.263819),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,,
