uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,FeatureID,FeatureType,FeatureAuthor,FeatureTimestamp,OverviewPhotos,Latitude,Longitude,Northing,Easting,Accuracy,Description,PhotoOfSketch,Comments,Interpretation,Material,AsociatedMaterialNotes,DetailPhotos,IDsOfPicturesFromExternalCamera,ExternalPhotoNotes,geospatialcolumn,Artefact Functional type,Tags,RevisedFeatureType,x-ref,Notes
1000061593223909919,3005 {Hearth},Cass Venn,2020-06-27 02:11:52.020 GMT,Cass Venn,2020-06-27 02:11:52 GMT,3005,Hearth,Cass Venn,2020-06-27 12:11:49+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3005_Hearth__1.jpg''}}",-33.740771,150.25994,246157.999,6263213.307,2.4,"Southwest facing, well defined stone hearth, hearth and platform appear to be built up to an artificial level. platform (W)3.5 X (l)5.5?m, two trees growing southern half of platform, platform built up on SE side by about 10 to 20cm above natural.",,,,Ceramic,"ceramic is plain white glaze, tableware, one piece has makers mark says ''bone china''",,Bec camera 0559 - 0565,,POINT(246157.998984 6263213.307176),Food service,Dwelling | Artefact | Food,Hearth | Platform | Artefact,,
1000021593223906776,1000 {Other},Shawn  Ross,2020-06-27 02:11:53.968 GMT,Shawn  Ross,2020-06-27 02:11:53 GMT,1000,Other,Shawn  Ross,2020-06-27 12:11:44+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1000_Other__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1000_Other__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1000_Other__3.jpg''}}",-33.740722,150.259641,246130.1467,6263218.006,2.4,tree stump,,,,,,,,,POINT(246130.146665 6263218.005768),,Work,Other,,
1000071593223980185,3006 {Hearth},Glenn van der Kolk,2020-06-27 02:13:18.216 GMT,Glenn van der Kolk,2020-06-27 02:13:18 GMT,3006,Hearth,Glenn van der Kolk,2020-06-27 12:13:00+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3006_Hearth__1.jpg''}}",-33.740925,150.259751,246140.9388,6263195.76,1.75,"SW facing, platform width 2.6m X length 3.8?m, platform built up approx 10cm on SE side, ",,,,Ceramic - Glass - Metal,"metal pot fragments, photo Bec camera 0570 - 0572.",,Bec camera 0566 - 0569,,POINT(246140.938803 6263195.759543),Food preparation ,Hut | Artefact | Food,Hearth | Platform | Artefact,,
1000071593224010331,3007 {Hearth},Glenn van der Kolk,2020-06-27 02:13:44.338 GMT,Glenn van der Kolk,2020-06-27 03:22:38 GMT,3007,Hearth,Glenn van der Kolk,2020-06-27 12:13:30+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3007_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3007_Hearth__2.jpg''}}",-33.740404,150.25904,246073.515,6263251.798,2,"S by SW facing, platform width 3.2m X length 4.8m, possible path in SE/NW direction approx 8m W of feature (photos Bec camera 0579 to 0581.) hearth constructed from bush rock, ",,,,Ceramic - Glass - Organic,"felled timber on S corner of platform, ",,Bec camera 0573 - 0578,possible SE/NW path 8m W of feature photos on Bec camera 0579 to 0581 (path),POINT(246073.515004 6263251.798226),,Dwelling | Artefact,Hearth | Platform | Artefact,,
1000021593224081561,1001 {Other},Shawn  Ross,2020-06-27 02:14:41.561 GMT,Shawn  Ross,2020-06-27 02:14:53 GMT,1001,Other,Shawn  Ross,2020-06-27 12:14:41+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1001_Other__1.jpg''}}",-33.740763,150.259669,246132.8623,6263213.527,2.4,tree stump,,,,,,,,,POINT(246132.862285 6263213.526937),,Work,Other,,
1000041593224082370,4005 {Other},Penny Crook,2020-06-27 02:14:42.371 GMT,Penny Crook,2020-06-27 02:16:25 GMT,4005,Other,Penny Crook,2020-06-27 12:14:42+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4005_Other__1.jpg''}}",-33.740679,150.259605,246126.6838,6263222.687,1.75,sawn log,,part of two,,,,,,na,POINT(246126.683796 6263222.686733),,Work,Other,,
1000041593224193105,4006 {Other},Penny Crook,2020-06-27 02:16:33.105 GMT,Penny Crook,2020-06-27 02:16:39 GMT,4006,Other,Penny Crook,2020-06-27 12:16:32+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4006_Other__1.jpg''}}",-33.740678,150.259608,246126.9589,6263222.805,1.75,sawn log,,part of two,likely cut from 4004? associated with 1000,,,,,na,POINT(246126.958852 6263222.805046),,Work,Other,,
1000021593224193489,1002 {Other},Shawn  Ross,2020-06-27 02:16:33.489 GMT,Shawn  Ross,2020-06-27 02:16:37 GMT,1002,Other,Shawn  Ross,2020-06-27 12:16:33+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1002_Other__1.jpg''}}",-33.740761,150.259682,246134.0611,6263213.781,2.4,tree stump,,,,,,,,,POINT(246134.061075 6263213.780809),,Work,Other,,
1000041593224480361,4007,Penny Crook,2020-06-27 02:21:28.106 GMT,Penny Crook,2020-06-27 02:21:28 GMT,4007,,Penny Crook,2020-06-27 12:21:20+10:00,,,,,,,,,,,,,,,,,,,,,
1000041593224488531,4008 {Artefact_scatter},Penny Crook,2020-06-27 02:21:30.934 GMT,Penny Crook,2020-06-27 02:21:30 GMT,4008,Artefact scatter,Penny Crook,2020-06-27 12:21:28+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4008_Artefact_scatter__1.jpg''}}",-33.740788,150.259696,246135.4381,6263210.82,2.1,clear bottle,,,,Ceramic - Glass,PROPERTY OF THE DAIRY FARMER''S CO-OPERATIVE MILK CO LTD // 1 PINT PASTEURISED.,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/4008_Artefact_scatter__1.jpg''}}",4994 to 4995,,POINT(246135.438053 6263210.820398),Bottle,Artefact | Food,Artefact,,
1000021593225159899,1003 {Other},Shawn  Ross,2020-06-27 02:32:39.900 GMT,Shawn  Ross,2020-06-27 02:32:45 GMT,1003,Other,Shawn  Ross,2020-06-27 12:32:39+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1003_Other__1.jpg''}}",-33.740812,150.259822,246147.185,6263208.469,2,tree stump,,,,,,,,,POINT(246147.185026 6263208.468674),,Work,Other,,
1000041593225293412,4009 {Artefact_scatter},Penny Crook,2020-06-27 02:34:53.412 GMT,Penny Crook,2020-06-27 02:34:53 GMT,4009,Artefact scatter,Penny Crook,2020-06-27 12:34:53+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4009_Artefact_scatter__1.jpg''}}",-33.740784,150.259769,246142.191,6263211.444,1.75,Black bottle glass,,,,Glass,Olive green,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/4009_Artefact_scatter__1.jpg''}}",,na,POINT(246142.191041 6263211.44393),Bottle,Artefact,Artefact,,
1000041593225501725,4010 {Other},Penny Crook,2020-06-27 02:38:21.725 GMT,Penny Crook,2020-06-27 02:38:35 GMT,4010,Other,Penny Crook,2020-06-27 12:38:21+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4010_Other__1.jpg''}}",-33.740743,150.25981,246145.8695,6263216.093,1.75,"burnt sawn log, near 1003",,,,,,,,na,POINT(246145.86954 6263216.092749),,Work,Other,,
1000021593225512661,1004 {Other},Shawn  Ross,2020-06-27 02:38:32.662 GMT,Shawn  Ross,2020-06-27 02:38:36 GMT,1004,Other,Shawn  Ross,2020-06-27 12:38:32+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1004_Other__1.jpg''}}",-33.740673,150.259891,246153.1693,6263224.057,2,tree stump,,,,,,,,,POINT(246153.169264 6263224.056851),,Work,Other,,
1000021593225615355,1005 {Other},Shawn  Ross,2020-06-27 02:40:15.355 GMT,Shawn  Ross,2020-06-27 02:40:23 GMT,1005,Other,Shawn  Ross,2020-06-27 12:40:15+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1005_Other__1.jpg''}}",-33.740661,150.259929,246156.6553,6263225.482,2.1,log cut from 1004,,,,,,,,,POINT(246156.655279 6263225.481529),,Work,Other,,
1000041593225625993,4011 {Other},Penny Crook,2020-06-27 02:40:25.993 GMT,Penny Crook,2020-06-27 02:40:34 GMT,4011,Other,Penny Crook,2020-06-27 12:40:25+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4011_Other__1.jpg''}}",-33.740722,150.259771,246142.1936,6263218.326,1.75,"burnt sawn log, near 1003",,,,,,,,na,POINT(246142.19355 6263218.326039),,Work,Other,,
1000041593226626105,4012,Penny Crook,2020-06-27 02:57:08.116 GMT,Penny Crook,2020-06-27 02:57:08 GMT,4012,,Penny Crook,2020-06-27 12:57:05+10:00,,,,,,,,,,,,,,,,,,,,,
1000041593226628543,4013 {Isolated_find},Penny Crook,2020-06-27 02:57:12.026 GMT,Penny Crook,2020-06-27 02:57:12 GMT,4013,Isolated find,Penny Crook,2020-06-27 12:57:08+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4013_Isolated_find__1.jpg''}}",-33.740448,150.259197,246088.1938,6263247.305,2,CC chamber pot sherd,,near 100,,Ceramic,,,4997,,POINT(246088.193766 6263247.304515),Chamber pot,Artefact | Waste,Artefact,,
1000041593226819200,4014 {Other},Penny Crook,2020-06-27 03:00:19.201 GMT,Penny Crook,2020-06-27 03:00:19 GMT,4014,Other,Penny Crook,2020-06-27 13:00:18+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4014_Other__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4014_Other__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4014_Other__3.jpg''}}",-33.740349,150.259152,246083.7317,6263258.175,2,burnt sawn log,,,,,,,,na,POINT(246083.731678 6263258.174939),,Work,Other,,
1000041593227002422,4015 {Other},Penny Crook,2020-06-27 03:03:22.422 GMT,Penny Crook,2020-06-27 03:03:22 GMT,4015,Other,Penny Crook,2020-06-27 13:03:22+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4015_Other__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4015_Other__2.jpg''}}",-33.740453,150.259332,246100.7188,6263247.083,3,sawn tree stump,,,,,,,,,POINT(246100.718781 6263247.082545),,Work,Other,,
1000041593227179101,4016 {Isolated_find},Penny Crook,2020-06-27 03:06:32.960 GMT,Penny Crook,2020-06-27 03:06:32 GMT,4016,Isolated find,Penny Crook,2020-06-27 13:06:18+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4016_Isolated_find__1.jpg''}}",-33.740441,150.259155,246084.281,6263247.977,2.4,cream colour brick,,,,Other,,,4998,,POINT(246084.281036 6263247.977479),Building material,Artefact | Building-Material,Artefact,,
1000041593227421866,4017 {Other},Penny Crook,2020-06-27 03:10:21.867 GMT,Penny Crook,2020-06-27 03:10:29 GMT,4017,Other,Penny Crook,2020-06-27 13:10:21+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4017_Other__1.jpg''}}",-33.740349,150.259204,246088.5505,6263258.303,2.1,sawn tree stump,,,,,,,,,POINT(246088.550453 6263258.303071),,Work,Other,,
1000041593227495555,4018 {Other},Penny Crook,2020-06-27 03:11:35.555 GMT,Penny Crook,2020-06-27 03:11:59 GMT,4018,Other,Penny Crook,2020-06-27 13:11:35+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4018_Other__1.jpg''}}",-33.740321,150.259223,6263261.456,246090.2286,2.1,sawn tree stump,,,,,,,,,POINT(246090.228577 6263261.455712),,Work,Other,,
1000041593227625419,4019 {Other},Penny Crook,2020-06-27 03:13:45.419 GMT,Penny Crook,2020-06-27 03:13:55 GMT,4019,Other,Penny Crook,2020-06-27 13:13:45+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4019_Other__1.jpg''}}",-33.740179,150.259183,246086.103,6263277.108,1.75,sawn tree stump,,,,,,,,,POINT(246086.103005 6263277.108116),,Work,Other,,
1000041593227735481,4020 {Other},Penny Crook,2020-06-27 03:15:35.481 GMT,Penny Crook,2020-06-27 03:15:43 GMT,4020,Other,Penny Crook,2020-06-27 13:15:35+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4020_Other__1.jpg''}}",-33.740169,150.259181,246085.8882,6263278.212,2.1,sawn tree stump,,,,,,,,,POINT(246085.888172 6263278.212411),,Work,Other,,
1000041593227757660,4021 {Other},Penny Crook,2020-06-27 03:15:57.660 GMT,Penny Crook,2020-06-27 03:16:14 GMT,4021,Other,Penny Crook,2020-06-27 13:15:57+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4021_Other__1.jpg''}}",-33.740185,150.259099,246078.3365,6263276.236,2.1,sawn tree stump,,cut log next to it,,,,,,,POINT(246078.33651 6263276.235597),,Work,Other,,
1000041593227842108,4022 {Other},Penny Crook,2020-06-27 03:17:22.108 GMT,Penny Crook,2020-06-27 03:17:43 GMT,4022,Other,Penny Crook,2020-06-27 13:17:21+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4022_Other__1.jpg''}}",-33.740202,150.259053,246074.1239,6263274.237,2.1,sawn tree stump,,copsed,,,,,,,POINT(246074.123881 6263274.236566),,Work,Other,,
1000041593227901159,4023 {Other},Penny Crook,2020-06-27 03:18:21.159 GMT,Penny Crook,2020-06-27 03:18:31 GMT,4023,Other,Penny Crook,2020-06-27 13:18:20+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4023_Other__1.jpg''}}",-33.740202,150.259052,246074.0312,6263274.234,2.1,sawn tree stump,,,,,,,,,POINT(246074.031213 6263274.234102),,Work,Other,,
1000041593228990665,4024 {Isolated_find},Penny Crook,2020-06-27 03:36:35.009 GMT,Penny Crook,2020-06-27 03:36:35 GMT,4024,Isolated find,Penny Crook,2020-06-27 13:36:30+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4024_Isolated_find__1.jpg''}}",-33.741672,150.258324,246010.9053,6263109.384,2,lithic?,,,,Stone,,,,,POINT(246010.90534 6263109.384094),ACH,Artefact,Artefact,,
1000071593231869648,5000 {Hearth},Glenn van der Kolk,2020-06-27 04:24:47.376 GMT,Glenn van der Kolk,2020-06-27 04:24:47 GMT,5000,Hearth,Glenn van der Kolk,2020-06-27 14:24:29+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5000_Hearth__1.jpg''}}",-33.740478,150.260072,246169.3673,6263246.133,2.7,"N facing, hearth constructed from bush rock, platform indistinct and obscured by fallentree.",,,,Glass,,,bec camera 0582 - 0586,,POINT(246169.367285 6263246.132564),,Hut | Artefact,Hearth | Platform | Artefact,,
1000041593231947935,4025 {Isolated_find},Penny Crook,2020-06-27 04:26:58.288 GMT,Penny Crook,2020-06-27 04:26:58 GMT,4025,Isolated find,Penny Crook,2020-06-27 14:25:47+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4025_Isolated_find__1.jpg''}}",-33.740557,150.260089,246171.1756,6263237.412,2.7,Base of codd bottle,,,,Glass,'W[unid symbol].../SYDNEY'' rev: ''...BROS MAKERS / [NKY]?'',"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/4025_Isolated_find__1.jpg''}}",4999 to 5005,,POINT(246171.175581 6263237.411581),Bottle,Artefact | Pharmaceutical,Artefact,,
1000071593232489630,5001 {Hearth},Glenn van der Kolk,2020-06-27 04:34:55.521 GMT,Glenn van der Kolk,2020-06-27 04:34:55 GMT,5001,Hearth,Glenn van der Kolk,2020-06-27 14:34:49+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5001_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5001_Hearth__2.jpg''}}",-33.740353,150.260168,246177.8949,6263260.234,2.4,"S facing hearth, numerous metal artefacts including 2 iron hoops (diam 0.28m) , multiple pieces sheet metal, metal drum or lid 0.2m diam., cast iron unknown machinery items, folded copper alloy metal piece, unknown metal bracket/fitting
",,,,Ceramic - Glass - Metal,"metal barrel hoops, flat metal sheet, spade head, metal mechanical pieces (bec camera 0604 - 0605), bottle glass, ",,bec camera 0587 - 0603,,POINT(246177.894921 6263260.234319),Building material | Barrel | Mechanism,Hut | Artefact,Hearth | Artefact,,
1000041593232607440,4026 {Artefact_scatter},Penny Crook,2020-06-27 04:36:59.473 GMT,Penny Crook,2020-06-27 04:36:59 GMT,4026,Artefact scatter,Penny Crook,2020-06-27 14:36:47+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4026_Artefact_scatter__1.jpg''}}",-33.740516,150.260088,246170.962,6263241.957,2.4,"Small scatter around codd bottle. porcelain teacup handle, green bottle glass possibly break",,,,,,,,,POINT(246170.962024 6263241.956931),Bottle | Food service,Artefact | Food | Pharmaceutical,Artefact,,
1000041593233007001,4027 {Artefact_scatter},Penny Crook,2020-06-27 04:43:36.454 GMT,Penny Crook,2020-06-27 04:43:36 GMT,4027,Artefact scatter,Penny Crook,2020-06-27 14:43:26+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4027_Artefact_scatter__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4027_Artefact_scatter__2.jpg''}}",-33.740529,150.260179,246179.4332,6263240.739,2.7,"light scatter 10m downslope from feature 300?? pcln, manganese pressed rim glass. sparser as you go down. some burnt bottle glass next to unburnt.",,,,,,,5006-8,,POINT(246179.433192 6263240.739095),Botttle,Artefact,Artefact,,
